ID,name,store_uscore,full_price,developers,publishers,categories,genres,tags,meta_score,meta_uscore,igdb_score,igdb_uscore
500,Missileman Origins,86,199,Ryan Silberman,Opium Pulses Entertainment,"Single-player,Steam Trading Cards","Action,Indie","Action,Indie",,,,
501,Smackitball,53,,"Kevin Fathi,Nima Zeighami,Evie Powell,Jason Briggs,Kijoon Shin,Victor Brodin,Benjamin Niu",VR Sports,Single-player,"Sports,Early Access","Early Access,Sports,VR,e-sports",,,,
502,A Timely Intervention,76,999,Aldorlea Games,Aldorlea Games,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud","Adventure,Casual,Indie,RPG,Strategy","Casual,Adventure,Indie,RPG,Strategy,RPGMaker",,,,70
503,The King's Heroes,61,999,Aldorlea Games,Aldorlea Games,"Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud","Adventure,Casual,Indie,RPG,Simulation,Strategy","Adventure,Indie,RPG,Casual,Simulation,Strategy,RPGMaker,Nudity",,,,
504,Midnight's Blessing 2,50,799,Warfare Studios,Warfare Studios,"Single-player,Steam Achievements,Partial Controller Support,Steam Cloud","Adventure,Casual,Indie,RPG,Simulation,Strategy","Adventure,Casual,Indie,Simulation,Strategy,RPG,RPGMaker",,,,
505,Bulby - Diamond Course,48,299,Rafael Senne,Paperdog Games,"Single-player,Multi-player,PvP,Shared/Split Screen PvP,Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Steam Achievements,Steam Trading Cards,Steam Workshop,Partial Controller Support,Steam Cloud,Includes level editor,Remote Play Together","Adventure,Indie","Indie,Adventure,Co-op,Multiplayer,Level Editor,Co-op Campaign,Puzzle-Platformer,3D Platformer",,,,
506,The Way Of Love: Sub Zero,67,999,RSK Entertainment,Strategy First,Single-player,"Violent,Adventure","Adventure,Violent,Point & Click,Mystery,War,Indie",,,,
507,Blaite,69,99,Dosane Games,Akim Games,"Single-player,Multi-player,PvP,Shared/Split Screen PvP,Shared/Split Screen,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Steam Leaderboards,Remote Play Together","Action,Adventure,Casual,Indie","Indie,Casual,Action,Adventure,Platformer,Difficult",,,,50
508,Beat Cop,84,1499,Pixel Crow,11 bit studios,"Single-player,Steam Achievements,Steam Trading Cards","Adventure,Indie,Simulation","Pixel Graphics,Indie,Adventure,Retro,Sexual Content,Simulation,Violent,1980s,Comedy,Point & Click,Singleplayer,Crime,Great Soundtrack,Choices Matter,2D,Detective",71,75,70,63
509,Post Human W.A.R,84,1499,Studio Chahut,Dear Villagers,"Single-player,Multi-player,PvP,Online PvP,Shared/Split Screen PvP,Steam Achievements,Steam Trading Cards,Steam Cloud,Remote Play Together","Indie,Strategy","Strategy,Indie,Turn-Based,Hex Grid,Turn-Based Tactics,Tactical,Multiplayer,Turn-Based Strategy,Local Multiplayer,Post-apocalyptic,Funny",,,,
510,Boiling Bolt,67,1199,Persistant Studios,Dear Villagers,"Single-player,Multi-player,Co-op,Shared/Split Screen Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Steam Leaderboards,Remote Play on TV,Remote Play Together","Action,Indie","Action,Indie,Shoot 'Em Up,Shooter,Difficult,Top-Down Shooter",,,76,30
511,ROKH,41,1999,Nvizzio Creations,Darewise Entertainment,"Multi-player,PvP,Online PvP,Shared/Split Screen PvP,Co-op,Online Co-op,Shared/Split Screen Co-op,Steam Trading Cards,Remote Play Together","Action,Adventure,Indie,Massively Multiplayer,RPG,Simulation,Strategy,Early Access","Early Access,Survival,Space,Sandbox,Crafting,Massively Multiplayer,Action,Simulation,Adventure,Indie,Mars,RPG,Strategy,Building,Open World,Multiplayer,Sci-fi",,,,50
512,Surf World Series,66,1499,Climax Studios,Vision Games Publishing LTD,"Single-player,Multi-player",Sports,Sports,,,65,60
513,Pyre,91,1999,Supergiant Games,Supergiant Games,"Single-player,Multi-player,PvP,Shared/Split Screen PvP,Steam Achievements,Full controller support,Steam Trading Cards,Captions available,Steam Cloud,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV,Remote Play Together","Action,Indie,RPG","Great Soundtrack,Story Rich,Visual Novel,Indie,RPG,Sports,Atmospheric,Hand-drawn,Fantasy,Singleplayer,Action,Party-Based RPG,Adventure,Local Multiplayer,Colorful,Choices Matter,Multiplayer",82,79,86,88
514,Wander No More,89,,Zetsubou,Unwonted Studios,"Single-player,Full controller support","Free to Play,Indie,Simulation","Free to Play,Visual Novel,Indie,Anime,Simulation",,,,70
515,A Shooty Bit,82,199,Gameland FRGU,Gameland STDIO,"Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Leaderboards","Action,Indie","Indie,Action,Shoot 'Em Up",,,,
516,Empires of the Undergrowth,94,1999,Slug Disco Studios,Slug Disco Studios,Single-player,"Indie,Simulation,Strategy,Early Access","Early Access,Strategy,Simulation,Indie,Management,Survival,RTS,Adventure,Singleplayer,Multiplayer",,,,80
517,Runeyana,51,,Blackturn Ltd,Blackturn Ltd,"Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud","Action,Adventure,Casual,RPG","Action,Adventure,RPG,Casual,Female Protagonist",,,,
