SITE_NAME,DATE,VARIABLE,VALUE,UNIT,LOWER_GUIDELINE_RECOMMENDATION,UPPER_GUIDELINE_RECOMMENDATION
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",3/12/2013,ZINC TOTAL,1.9,UG/L,,124.349775
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",5/2/2014,AMMONIA DISSOLVED,0.013,MG/L,,0.019
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",5/2/2014,ARSENIC TOTAL,0.37,UG/L,,5
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",5/2/2014,CHLORIDE DISSOLVED,18.2,MG/L,,120
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",5/2/2014,COPPER TOTAL,1.1,UG/L,,4.631906
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",5/2/2014,LEAD TOTAL,0.162,UG/L,,8.661866
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",5/2/2014,NICKEL TOTAL,1.04,UG/L,,173.793666
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",5/2/2014,NITROGEN TOTAL,1.088,MG/L,,1
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",5/2/2014,OXYGEN DISSOLVED,14.75,MG/L,6.5,
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",5/2/2014,PHOSPHORUS TOTAL,0.011,MG/L,,0.05
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",5/2/2014,ZINC TOTAL,2.5,UG/L,,104.720625
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",5/3/2014,AMMONIA DISSOLVED,0.014,MG/L,,0.019
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",5/3/2014,ARSENIC TOTAL,0.39,UG/L,,5
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",5/3/2014,CHLORIDE DISSOLVED,19.6,MG/L,,120
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",5/3/2014,COPPER TOTAL,1.93,UG/L,,5.032566
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",5/3/2014,LEAD TOTAL,0.132,UG/L,,9.801378
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",5/3/2014,NICKEL TOTAL,0.92,UG/L,,187.102301
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",5/3/2014,NITROGEN TOTAL,1.225,MG/L,,1
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",5/3/2014,OXYGEN DISSOLVED,14.99,MG/L,6.5,
