ID,GlobalUniqueIdentifier,ScientificName,Order,Locality,DecimalLatitude,DecimalLongitude,YearCollected,MonthCollected,DayCollected,Collector,CollectorNumber,Remarks,SamplingEventIdentifier,TimeObservationsStarted,DurationInHours,NumberOfObservers,ObservationCount,ObservationDate,CommonName,BreedingBirdAtlasCode
B72,URN:NatureAlberta:ABATLAS2:94739-COLO,Gavia immer,Gaviiformes,PL22,54.3588,-115.089,2005,7,13,John Arnold,9424,,94739,12:00:00,4.5,0,1,Jul 13 2005 12:00AM,Common Loon,X
B73,URN:NatureAlberta:ABATLAS2:94739-BCCH,Poecile atricapillus,Passeriformes,PL22,54.3588,-115.089,2005,7,13,John Arnold,9424,,94739,12:00:00,4.5,0,19,Jul 13 2005 12:00AM,Black-capped Chickadee,FL
B74,URN:NatureAlberta:ABATLAS2:94739-GRJA,Perisoreus canadensis,Passeriformes,PL22,54.3588,-115.089,2005,7,13,John Arnold,9424,,94739,12:00:00,4.5,0,2,Jul 13 2005 12:00AM,Gray Jay,X
B75,URN:NatureAlberta:ABATLAS2:95014-COLO,Gavia immer,Gaviiformes,VR27,54.8165,-112.167,2005,6,6,Bernie .J.J. Gauthier,6774,,95014,07:00:00,4.83333,1,4,Jun  6 2005 12:00AM,Common Loon,X
B76,URN:NatureAlberta:ABATLAS2:95014-CAGO,Branta canadensis,Anseriformes,VR27,54.8165,-112.167,2005,6,6,Bernie .J.J. Gauthier,6774,,95014,07:00:00,4.83333,1,77,Jun  6 2005 12:00AM,Canada Goose,FL
B77,URN:NatureAlberta:ABATLAS2:94764-CAGO,Branta canadensis,Anseriformes,MJ26,52.9294,-118.116,2005,5,31,Karen Metz,5693,,94764,08:30:00,4.25,1,7,May 31 2005 12:00AM,Canada Goose,FL
B78,URN:NatureAlberta:ABATLAS2:95018-CAGO,Branta canadensis,Anseriformes,VN7,52.1198,-112.391,2005,6,15,Andy Murphy,6181,,95018,06:45:00,0.75,0,2,Jun 15 2005 12:00AM,Canada Goose,P
B79,URN:NatureAlberta:ABATLAS2:95156-CAGO,Branta canadensis,Anseriformes,MP13,57.1524,-118.405,2005,5,18,Adam Blake,9934,,95156,12:00:00,-3,0,1,May 18 2005 12:00AM,Canada Goose,X
B80,URN:NatureAlberta:ABATLAS2:95156-GRJA,Perisoreus canadensis,Passeriformes,MP13,57.1524,-118.405,2005,5,18,Adam Blake,9934,,95156,12:00:00,-3,0,1,May 18 2005 12:00AM,Gray Jay,X
B81,URN:NatureAlberta:ABATLAS2:94998-BCCH,Poecile atricapillus,Passeriformes,QJ2,52.5349,-114.001,2005,5,9,Judy Boyd,5043,,94998,06:00:00,3,2,1,May  9 2005 12:00AM,Black-capped Chickadee,H
B82,URN:NatureAlberta:ABATLAS2:92098-CAGO,Branta canadensis,Anseriformes,Chestermere Sloughs,51.0667,-113.817,2005,4,24,Andrew Slater,2062,,92098,07:45:00,1.25,0,24,Apr 24 2005 12:00AM,Canada Goose,X
B83,URN:NatureAlberta:ABATLAS2:95298-CAGO,Branta canadensis,Anseriformes,UN15,51.913,-113.696,2005,4,4,Judy Boyd,5043,,95298,12:00:00,6,2,28,Apr  4 2005 12:00AM,Canada Goose,P
B84,URN:NatureAlberta:ABATLAS2:94998-CAGO,Branta canadensis,Anseriformes,QJ2,52.5349,-114.001,2005,5,9,Judy Boyd,5043,,94998,06:00:00,3,2,4,May  9 2005 12:00AM,Canada Goose,P
B85,URN:NatureAlberta:ABATLAS2:92102-CAGO,Branta canadensis,Anseriformes,Irricana Sloughs,51.3167,-113.467,2005,5,1,Andrew Slater,2062,,92102,08:00:00,2.75,0,23,May  1 2005 12:00AM,Canada Goose,X
B86,URN:NatureAlberta:ABATLAS2:95019-CAGO,Branta canadensis,Anseriformes,VN8,52.2075,-112.404,2005,6,15,Andy Murphy,6181,,95019,05:30:00,1.25,0,4,Jun 15 2005 12:00AM,Canada Goose,FL
B87,URN:NatureAlberta:ABATLAS2:95319-CAGO,Branta canadensis,Anseriformes,UP26,52.9061,-113.602,2005,4,29,Judy Boyd,5043,,95319,18:00:00,0.5,0,2,Apr 29 2005 12:00AM,Canada Goose,ON
B88,URN:NatureAlberta:ABATLAS2:95344-BCCH,Poecile atricapillus,Passeriformes,UN65,51.9293,-112.963,2005,5,15,Judy Boyd,5043,,95344,09:30:00,5,3,2,May 15 2005 12:00AM,Black-capped Chickadee,X
B89,URN:NatureAlberta:ABATLAS2:95344-CAGO,Branta canadensis,Anseriformes,UN65,51.9293,-112.963,2005,5,15,Judy Boyd,5043,,95344,09:30:00,5,3,2,May 15 2005 12:00AM,Canada Goose,ON
B90,URN:NatureAlberta:ABATLAS2:92148-CAGO,Branta canadensis,Anseriformes,SW of Olds,51.7653,-114.246,2005,3,31,Alan Taylor,4371,,92148,14:45:00,1.58333,0,86,Mar 31 2005 12:00AM,Canada Goose,P
B91,URN:NatureAlberta:ABATLAS2:95553-CAGO,Branta canadensis,Anseriformes,PH66,52.0111,-114.596,2005,7,4,Robert Hall,4618,,95553,17:00:00,-17,0,9,Jul  4 2005 12:00AM,Canada Goose,P
B92,URN:NatureAlberta:ABATLAS2:95557-COLO,Gavia immer,Gaviiformes,PH37,52.109,-115.029,2005,6,29,Robert Hall,4618,,95557,10:00:00,5,0,2,Jun 29 2005 12:00AM,Common Loon,H
B93,URN:NatureAlberta:ABATLAS2:95557-CAGO,Branta canadensis,Anseriformes,PH37,52.109,-115.029,2005,6,29,Robert Hall,4618,,95557,10:00:00,5,0,37,Jun 29 2005 12:00AM,Canada Goose,FL
B94,URN:NatureAlberta:ABATLAS2:92173-CAGO,Branta canadensis,Anseriformes,Pine Lake,52.096,-113.532,2005,5,22,Alan Taylor,4371,,92173,09:30:00,5.5,0,12,May 22 2005 12:00AM,Canada Goose,ON
B95,URN:NatureAlberta:ABATLAS2:95557-GRJA,Perisoreus canadensis,Passeriformes,PH37,52.109,-115.029,2005,6,29,Robert Hall,4618,,95557,10:00:00,5,0,2,Jun 29 2005 12:00AM,Gray Jay,H
B96,URN:NatureAlberta:ABATLAS2:95303-CAGO,Branta canadensis,Anseriformes,PH66,52.0111,-114.596,2005,4,11,Teresa Dolman,3842,,95303,15:30:00,1,4,10,Apr 11 2005 12:00AM,Canada Goose,ON
B97,URN:NatureAlberta:ABATLAS2:95324-COLO,Gavia immer,Gaviiformes,UN19,52.2742,-113.712,2005,5,2,Judy Boyd,5043,,95324,06:00:00,16.5,4,2,May  2 2005 12:00AM,Common Loon,P
B98,URN:NatureAlberta:ABATLAS2:95324-CAGO,Branta canadensis,Anseriformes,UN19,52.2742,-113.712,2005,5,2,Judy Boyd,5043,,95324,06:00:00,16.5,4,2,May  2 2005 12:00AM,Canada Goose,ON
B99,URN:NatureAlberta:ABATLAS2:95328-CAGO,Branta canadensis,Anseriformes,UN18,52.1844,-113.706,2005,5,7,Judy Boyd,5043,,95328,08:15:00,0.75,2,1,May  7 2005 12:00AM,Canada Goose,X
B100,URN:NatureAlberta:ABATLAS2:95349-COLO,Gavia immer,Gaviiformes,UN28,52.1877,-113.56,2005,5,16,Judy Boyd,5043,,95349,11:30:00,0.5,2,1,May 16 2005 12:00AM,Common Loon,X
B101,URN:NatureAlberta:ABATLAS2:95670-CAGO,Branta canadensis,Anseriformes,PH94,51.8218,-114.17,2005,4,13,Lois Burkinshaw,5363,,95670,10:00:00,2,1,5,Apr 13 2005 12:00AM,Canada Goose,NB
B102,URN:NatureAlberta:ABATLAS2:95695-BCCH,Poecile atricapillus,Passeriformes,S.W. of Olds,51.7547,-114.186,2005,11,20,Alan Taylor,4371,,95695,10:00:00,2.5,0,1,Nov 20 2005 12:00AM,Black-capped Chickadee,X
B103,URN:NatureAlberta:ABATLAS2:95716-BCCH,Poecile atricapillus,Passeriformes,"The quarter sections on both sides of Range Road 30, from Highway 616 to Township Road 482.  The area is one mile wide, and two ",53.1169,-114.306,2005,5,7,Javan Green,9930,,95716,07:00:00,2.5,1,19,May  7 2005 12:00AM,Black-capped Chickadee,P
B104,URN:NatureAlberta:ABATLAS2:95716-CAGO,Branta canadensis,Anseriformes,"The quarter sections on both sides of Range Road 30, from Highway 616 to Township Road 482.  The area is one mile wide, and two ",53.1169,-114.306,2005,5,7,Javan Green,9930,,95716,07:00:00,2.5,1,9,May  7 2005 12:00AM,Canada Goose,P
B105,URN:NatureAlberta:ABATLAS2:95349-BCCH,Poecile atricapillus,Passeriformes,UN28,52.1877,-113.56,2005,5,16,Judy Boyd,5043,,95349,11:30:00,0.5,2,2,May 16 2005 12:00AM,Black-capped Chickadee,H
B106,URN:NatureAlberta:ABATLAS2:95349-CAGO,Branta canadensis,Anseriformes,UN28,52.1877,-113.56,2005,5,16,Judy Boyd,5043,,95349,11:30:00,0.5,2,18,May 16 2005 12:00AM,Canada Goose,FL
B107,URN:NatureAlberta:ABATLAS2:95720-CAGO,Branta canadensis,Anseriformes,"The Coyote Lake Nature Sanctuary which is west, and a little bit north, of Drayton Valley.",53.2167,-114.983,2005,7,14,Javan Green,9930,,95720,10:30:00,1.5,2,15,Jul 14 2005 12:00AM,Canada Goose,FL
